File,Link
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,#appendix-2-instances-of-oral-transmission-of-knowledge-using-the-word-said
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://edition640.makingandknowing.org/#/folios/29v/f/29v/tl
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://edition640.makingandknowing.org/#/folios/136v/f/136v/tl
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,../data/fa21_ghoneima_hana_final-project_tl_pro.xlsx
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,#appendix-3-instances-of-oral-transmission-of-knowledge-using-the-profession-tag
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,#appendix-4-descriptions-of-profession-categories
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,../data/fa21_ghoneima_hana_final-project_tl_pl.xlsx
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,#appendix-5-instances-of-oral-transmission-of-knowledge-using-the-place-tag
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://edition640.makingandknowing.org/#/folios/67r/f/67r/tl
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://edition640.makingandknowing.org/#/folios/121v/f/121v/tl
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://edition640.makingandknowing.org/#/folios/58r/f/58r/tl
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://edition640.makingandknowing.org/#/folios/113v/f/113v/tl
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://edition640.makingandknowing.org/#/folios/102v/f/103r/tl
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://edition640.makingandknowing.org/#/essays/ann_335_ie_19
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://www.doi.org/10.7916/cjhd-wh90
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://edition640.makingandknowing.org/#/essays/ann_048_fa_16
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://www.doi.org/10.7916/kfja-0v86
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://www.folger.edu/shakespeare-unlimited/food-wendy-wall
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://edition640.makingandknowing.org/#/essays/ann_018_sp_15
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://www.doi.org/10.7916/6zzw-s813
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://doi.org/10.2307/468775.
./docs/fa21_ghoneima_hana_final-project-oral-culture.md,https://edition640.makingandknowing.org/#/essays/ann_057_sp_17
